"UPM","VIV_SEL","HOGAR","NUMREN","P1_1","P1_2","P1_2_2","P1_2_3","NIVEL","GRADO","P1_3","P1_4","P1_5","P1_6_1","P1_6_2","P1_6_3","P1_6_4","P1_6_5","P1_6_6","P1_6_7","P1_6_8","P1_6_9","P1_6_10","P1_6_11","P1_7","P1_8_1","P1_8_2","P1_9","P1_10","P1_11","P1_12","P1_13","P1_14","P1_15_1","P1_15_2","P1_15_3","P1_15_4","P1_15_5","P1_15_6","P1_16","P2_1","P2_2","P2_3_1","P2_3_2","P2_3_3","P2_3_4","P2_3_5","P2_3_6","P2_3_7","P2_3_8","P2_4","P2_5","P2_6_1","P2_6_2","P2_6_3","P2_6_4","P2_6_5","P2_6_6","P2_6_7","P2_6_8","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P4_1","P4_2_1","P4_2_2","P4_2_3","P4_2_4","P4_2_5","P4_2_6","P4_2_7","P4_3_1","P4_3_2","P4_4_1_1","P4_4_1_2","P4_4_1_3","P4_4_1_4","P4_4_1_8","P4_4_2_1","P4_4_2_2","P4_4_2_3","P4_4_2_4","P4_4_2_8","P4_4_3_1","P4_4_3_2","P4_4_3_3","P4_4_3_4","P4_4_3_8","P4_4_4_1","P4_4_4_2","P4_4_4_3","P4_4_4_4","P4_4_4_8","P4_4_5_1","P4_4_5_2","P4_4_5_3","P4_4_5_4","P4_4_5_8","P4_4_6_1","P4_4_6_2","P4_4_6_3","P4_4_6_4","P4_4_6_8","P4_4_7_1","P4_4_7_2","P4_4_7_3","P4_4_7_4","P4_4_7_8","P4_5_1","P4_5_2","P4_5_3","P4_5_4","P4_5_5","P4_5_6","P4_5_7","P4_5_8","P4_5_9","P4_5_10","P4_6_1","P4_6_2","P4_6_3","P4_6_4","P4_6_5","P4_6_6","P4_6_7","P4_6_8","P4_6_9","P4_6_10","P4_6_11","P4_7","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","P5_13","P5_14","P5_15","P5_16","P5_17","P5_18","P5_19","P5_20","P5_21","P5_22","P5_23","P5_24","P5_25","P5_26","P5_27","P5_28","P5_29","P5_30","P5_31","P5_32","P5_33","P5_34","P5_35","P5_36","P5_37","P5_38","P5_39","P5_40","P5_41","P5_42","P5_43","P5_44","P5_45","P5_46","P5_47","P5_48","P5_49","P5_50","P5_51","P5_52","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P6_8","P6_9","P6_10","P6_11","P6_12","P6_13","P6_14","P6_15","P6_16","P6_17","P6_18","P6_19","P6_20","P6_21","P6_22","P6_23","P6_24","P6_25","P6_26","P6_27","P6_28","P6_29","P6_30","P6_31","P6_32","P6_33","P6_34","P6_35","P6_36","P6_37","P6_38","P6_39","P6_40","P6_41","P6_42","P6_43","P6_44","P6_45","P6_46","P6_47","P6_48","P6_49","P6_50","P6_51","P6_52","P7_121A","P7_121B","P7_121","P7_122","P7_123","P7_124","P7_125","P7_126","P7_127","EDAD","EDAD_MESES","SEXO","ENT","DOMINIO","ALTITUD","REGION","EST_DIS","UPM_DIS","ESTRATO","F_DESINF","F_DESINF_INSP","DIAS"
"00804","01","1","04","03","03","03","1","03","3","","66","66","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","","","","","","","","","","","","","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","2","2","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","1","2","1","2","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","000","0","2","06","1","532","2","052","00804","2",611,611,86
"00804","04","1","05","04","03","03","1","03","3","","01","20","2","2","2","1","1","1","1","2","1","1","1","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","2","2","1","1","2","1","2","1","1","1","02","2","1","2","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","2","1","2","2","2","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","1","1","004","55","2","06","1","532","2","052","00804","2",1139,1139,1770
"00805","19","1","04","02","04","06","2","04","3","","02","02","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","2","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","","","","","","","","","","","2","1","2","1","1","2","2","2","2","2","2","2","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","001","19","2","06","1","23","2","049","00805","2",412,412,595
"00806","07","1","03","02","03","03","1","03","3","","66","01","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","2","2","1","1","1","1","1","2","1","05","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","0","","","","","","","","","","","1","1","2","1","1","1","1","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","004","57","2","06","1","25","2","049","00806","2",475,475,1749
"00807","04","1","04","02","03","03","1","03","3","","99","12","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","01","01","2","","","","","","","","","","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","30","1","06","1","25","2","049","00807","2",452,452,957
"00807","13","1","10","04","02","05","1","02","5","","66","04","1","1","1","1","1","2","1","2","1","2","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","2","","0","0","0","0","0","1","0","0","1","2","2","1","2","1","1","1","1","1","00","1","1","1","1","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","1","1","2","1","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","1","2","2","2","1","2","2","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","1","1","","","","","","","","","","003","38","1","06","1","25","2","049","00807","2",452,452,1187
"00809","19","1","07","03","10","10","2","10","5","","12","19","2","2","2","2","1","1","1","1","1","2","2","1","1","1","1","01","08","1","1","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04","2","1","2","1","2","1","2","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","","","","","","","","","","","1","1","2","2","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","001","19","1","06","1","25","2","049","00809","2",486,486,712
"00810","04","1","05","03","03","03","1","03","3","","09","20","1","2","2","1","1","2","1","1","2","1","2","1","1","1","1","01","01","1","1","","","","","","","","","2","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","03","2","1","1","1","2","1","2","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","1","1","2","1","1","1","1","2","1","1","2","2","1","1","2","1","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","1","2","1","2","1","2","1","1","1","1","1","1","2","1","1","2","2","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","26","1","06","1","25","2","049","00810","2",1055,1055,824
"00810","07","1","10","09","03","03","1","03","3","","01","04","2","1","2","1","1","1","1","1","1","1","1","2","1","1","1","01","01","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","2","2","2","1","1","1","1","1","1","1","00","2","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","1","1","2","1","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","1","1","004","48","1","06","1","25","2","049","00810","2",2135,2135,1495
"00810","09","1","04","02","04","01","2","03","3","","04","06","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","","2","","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","2","1","1","1","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","","","","","","","","","","","2","1","2","2","1","1","1","2","2","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","2","2","1","1","1","1","1","1","2","2","2","1","1","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","27","1","06","1","25","2","049","00810","2",1055,1055,846
"00810","17","1","04","01","03","03","1","03","3","","03","03","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1","02","01","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","2","2","1","2","1","1","1","1","1","00","2","1","1","2","2","2","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","1","2","2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","2","1","2","2","1","2","1","2","2","2","2","2","1","1","2","2","2","2","1","2","1","2","1","1","","","","","","","","","","003","38","1","06","1","25","2","049","00810","2",527,527,1175
"00811","01","1","04","03","04","06","3","04","2","","03","03","2","1","2","1","2","1","1","1","1","2","1","1","1","1","1","03","01","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","2","2","1","2","1","1","1","2","2","00","2","1","1","1","1","1","2","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","2","1","2","1","1","2","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","1","1","003","43","2","06","1","25","2","049","00811","2",594,594,1341
"00811","02","1","05","04","03","03","1","03","3","","12","18","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","01","01","2","","","","","","","","","","2","","0","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","03","2","1","1","1","1","1","2","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","2","1","2","2","2","1","1","2","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","1","1","2","1","2","2","1","2","1","2","2","1","1","2","2","1","2","1","2","1","2","2","2","2","2","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1","1","","","","","","","","","","002","35","2","06","1","25","2","049","00811","2",440,440,1090
"00811","07","1","06","02","03","03","1","03","3","","06","13","1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","2","","0","0","0","0","0","1","0","0","1","2","2","1","2","1","1","1","2","1","00","2","1","1","2","2","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","1","2","1","1","1","2","2","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","1","1","1","2","1","2","1","2","1","2","1","2","1","2","2","1","2","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","2","2","1","1","","","","","","","","","","003","42","1","06","1","25","2","049","00811","2",440,440,1293
"00811","13","1","04","02","03","03","1","03","3","","01","06","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","01","07","1","1","","","","","","","","","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","2","2","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","2","2","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","000","0","1","06","1","25","2","049","00811","2",880,880,182
"00811","20","1","06","99","","","","","","01","07","07","8","8","8","8","8","8","8","8","8","8","8","1","1","1","1","01","01","1","1","","","","","","","","","2","","0","0","0","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","1","2","2","2","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","2","1","2","1","2","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","000","9","2","06","1","25","2","049","00811","2",440,440,469
"00812","07","1","05","02","02","06","1","02","6","","05","07","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","01","01","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","1","2","1","1","1","1","1","1","1","1","01","2","1","1","2","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","2","2","2","1","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","1","1","004","55","1","06","1","25","2","049","00812","2",490,490,1680
"00813","08","1","05","02","04","03","2","04","1","","02","05","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","01","01","1","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00","2","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","1","1","1","1","2","1","1","2","1","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","26","1","06","1","1053","2","050","00813","2",399,399,809
"00814","06","1","06","02","04","06","2","04","3","","66","12","1","1","2","1","1","1","1","1","2","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","2","2","2","1","2","1","1","1","2","1","88","2","1","1","1","1","1","2","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","2","1","1","1","1","1","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","1","1","1","1","1","1","004","55","1","06","1","332","2","050","00814","2",1152,1152,1685
"00814","13","1","04","01","10","04","1","10","4","","07","07","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","01","01","1","1","","","","","","","","","2","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","03","2","1","1","1","2","1","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","1","1","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","001","13","1","06","1","332","2","050","00814","2",368,368,405
"00815","09","1","06","04","03","03","1","03","3","","66","66","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","01","01","1","1","","","","","","","","","2","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","00","2","1","2","2","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","2","1","2","1","2","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","000","4","1","06","1","944","2","050","00815","2",901,901,142
"00816","05","1","05","02","03","03","1","03","3","","66","66","1","1","2","2","1","1","1","1","1","1","2","1","1","1","1","01","01","1","1","","","","","","","","","","","","","","","","","","","2","","0","1","0","0","0","0","0","0","1","2","2","1","1","1","1","1","1","2","01","2","1","1","1","1","2","2","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","","","","","","","","","","","1","1","2","1","1","1","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","2","1","2","1","1","2","2","1","2","1","1","2","2","1","2","1","1","1","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","2","2","1","2","2","2","2","2","2","1","1","","","","","","","","","","003","37","2","06","1","19","2","050","00816","2",470,470,1140
"00816","06","1","03","01","03","03","1","03","3","","66","66","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","01","01","2","","","","","","","","","","2","","0","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","2","1","1","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","2","1","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","","","","","","","","","","002","33","1","06","1","19","2","050","00816","2",940,940,1037
"00816","17","1","03","02","03","02","1","03","2","","66","06","1","1","1","1","1","1","2","1","1","2","2","1","1","1","2","","","","","","","","","","","","","2","","0","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","2","1","2","1","1","1","2","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","2","2","2","1","2","2","2","2","2","2","1","2","1","2","1","1","1","2","1","1","2","1","2","2","2","2","1","1","2","1","2","2","2","2","2","1","1","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","24","1","06","1","19","2","050","00816","2",470,470,750
"00817","01","1","04","02","04","03","1","04","3","","02","05","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","03","01","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","2","2","1","1","1","1","1","1","2","2","88","1","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","2","1","1","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","1","2","1","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","2","2","2","2","2","1","2","2","2","1","2","2","1","1","1","","","","","","","","","","003","42","1","06","1","728","2","050","00817","2",511,511,1304
"00817","06","1","05","04","03","03","1","03","3","","01","08","2","2","2","2","2","2","2","1","2","2","2","2","1","1","1","05","01","1","1","","","","","","","","","2","","0","1","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","02","2","1","1","1","1","2","2","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","2","1","2","2","1","2","2","2","2","2","2","2","1","1","1","1","2","2","1","2","2","2","1","2","1","2","1","2","2","2","1","2","2","1","2","1","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","001","19","2","06","1","728","2","050","00817","2",511,511,612
"00817","08","1","05","04","03","03","1","03","3","","02","06","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","02","01","1","2","1","1","1","0","0","0","0","01","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","02","2","1","1","1","2","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","1","1","2","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","25","1","06","1","728","2","050","00817","2",511,511,787
"00817","11","1","05","02","03","03","1","03","3","","06","06","1","1","1","1","1","1","1","1","2","2","2","2","1","1","2","","","","","","","","","","","","","2","","0","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","","01","2","1","1","2","1","2","2","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","","","","","","","","","","","2","1","2","2","1","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","001","13","2","06","1","728","2","050","00817","2",511,511,427
"00817","11","2","03","02","02","06","1","02","6","","66","66","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","2","","0","1","0","0","1","0","0","0","2","2","2","1","1","2","1","2","1","1","00","2","2","1","2","2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","","","","","","","","","","","2","2","2","2","2","2","2","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","","","","","","","","","","003","37","1","06","1","728","2","050","00817","2",511,511,1138
"00818","16","1","03","02","03","03","1","03","3","","99","99","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","2","","0","0","0","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","00","2","1","1","1","2","1","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","","","","","","","","","","","2","1","1","1","1","2","1","1","2","2","2","2","1","1","1","1","2","1","2","2","2","1","1","1","2","2","1","1","1","2","1","1","2","1","1","2","1","1","1","1","1","1","1","2","1","2","2","2","2","1","1","1","1","2","2","2","1","2","1","2","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","002","25","1","06","1","9","2","050","00818","2",413,413,793
